"Datum und Uhrzeit","PH Theater","PP Hörsterplatz","PH Alter Steinweg",Busparkplatz,"PP Schlossplatz Nord","PP Schlossplatz Süd","PH Aegidii","PP Georgskommende","PH Münster Arkaden","PH Karstadt","PH Stubengasse","PH Bremer Platz","PH Engelenschanze","PH Bahnhofstraße","PH Cineplex","PH Stadthaus 3"
"2020-11-28 15:15",456,27,87,20,371,203,342,194,11,45,98,184,224,193,491,121
"2020-11-28 15:20",458,25,87,19,373,202,347,195,10,46,99,184,226,194,491,122
"2020-11-28 15:25",459,26,90,18,374,201,349,196,11,47,100,187,227,196,492,123
"2020-11-28 15:30",459,27,90,18,375,201,351,195,12,47,100,188,229,196,493,124
"2020-11-28 15:35",463,29,94,18,377,200,354,195,12,47,101,188,229,198,493,125
"2020-11-28 15:40",465,30,91,18,359,202,356,195,13,48,101,189,229,200,493,127
"2020-11-28 15:45",468,31,93,18,380,200,358,196,13,48,101,191,231,201,493,128
"2020-11-28 15:50",469,31,94,21,347,181,361,179,13,48,100,191,232,201,494,130
"2020-11-28 15:55",471,31,94,19,348,187,362,179,13,51,101,191,233,203,494,131
"2020-11-28 16:00",473,31,93,19,350,189,365,180,13,53,103,192,235,205,494,133
"2020-11-28 16:05",474,32,96,19,351,187,368,182,15,55,103,193,238,207,494,134
"2020-11-28 16:10",478,32,97,18,353,186,373,183,16,56,103,194,244,208,495,137
"2020-11-28 16:15",480,33,99,18,354,184,379,184,16,58,103,196,248,210,495,138
"2020-11-28 16:20",486,36,100,18,357,183,385,185,17,60,106,196,252,211,496,140
"2020-11-28 16:25",490,37,103,18,358,182,391,186,19,62,108,196,255,215,496,142
"2020-11-28 16:30",495,38,103,18,360,181,396,187,20,64,110,197,259,217,498,143
"2020-11-28 16:35",498,39,106,18,361,180,401,187,19,67,111,198,262,217,498,145
"2020-11-28 16:40",499,42,109,18,362,179,407,188,18,68,112,200,264,219,499,145
"2020-11-28 16:45",501,42,111,18,328,181,409,189,19,69,113,201,267,220,501,146
"2020-11-28 16:50",505,43,115,17,364,180,415,188,18,69,115,201,272,222,501,149
"2020-11-28 16:55",509,44,119,17,366,180,421,188,20,72,119,202,275,223,502,150
"2020-11-28 17:00",512,45,123,17,367,179,430,190,21,75,120,202,278,224,503,152
"2020-11-28 17:05",516,46,127,17,369,179,436,192,22,76,123,203,283,225,504,153
"2020-11-28 17:10",520,46,131,17,370,178,445,193,24,78,127,205,289,228,504,155
"2020-11-28 17:15",525,50,136,19,337,178,453,195,27,81,129,206,292,231,506,156
"2020-11-28 17:20",532,52,139,19,338,186,461,196,30,82,132,209,299,234,508,157
"2020-11-28 17:25",536,55,143,19,338,186,468,198,31,83,134,210,305,236,509,159
"2020-11-28 17:30",541,56,148,16,339,186,475,199,31,83,136,211,311,238,509,160
"2020-11-28 17:35",546,60,154,16,340,186,482,200,33,86,139,212,317,240,511,161
"2020-11-28 17:40",552,61,159,16,340,186,490,201,35,87,141,214,321,242,511,162
"2020-11-28 17:45",556,64,165,16,341,186,496,202,38,88,145,215,326,242,513,163
"2020-11-28 17:50",561,68,169,13,342,186,503,203,41,90,150,216,330,244,514,164
"2020-11-28 17:55",567,73,174,12,343,185,513,203,45,93,155,216,335,247,515,165
"2020-11-28 18:00",573,77,180,12,344,145,521,205,47,94,160,217,343,247,516,166
"2020-11-28 18:05",578,80,188,12,310,131,528,156,50,97,164,217,350,248,518,167
"2020-11-28 18:10",584,84,196,7,311,130,539,157,53,99,170,218,355,251,520,167
"2020-11-28 18:15",589,88,203,6,242,131,550,140,57,103,177,219,361,253,521,168
"2020-11-28 18:20",596,81,213,6,243,131,560,142,61,107,183,220,365,254,522,169
"2020-11-28 18:25",601,85,221,5,209,131,569,143,65,109,189,221,369,256,522,169
"2020-11-28 18:30",606,90,231,5,210,131,579,143,70,111,195,222,373,258,514,169
"2020-11-28 18:35",610,94,238,5,210,132,587,144,74,112,200,223,378,259,515,169
"2020-11-28 18:40",613,97,244,5,211,132,595,145,78,115,204,223,380,261,516,169
"2020-11-28 18:45",616,101,252,5,211,132,602,146,82,117,208,223,384,263,517,170
"2020-11-28 18:50",620,104,259,5,212,133,608,146,84,119,213,224,388,265,517,170
"2020-11-28 18:55",623,108,267,5,212,133,615,147,90,120,219,224,393,265,518,170
"2020-11-28 19:00",627,112,273,5,212,133,622,149,94,122,224,225,395,267,518,170
"2020-11-28 19:05",630,116,280,5,213,133,629,151,100,124,230,226,398,268,518,170
"2020-11-28 19:10",634,109,287,5,213,133,637,152,105,126,235,227,402,270,519,170
"2020-11-28 19:15",636,102,294,5,214,133,646,152,110,129,239,228,405,271,519,170
"2020-11-28 19:20",640,104,301,5,214,145,654,153,115,131,244,229,408,273,520,170
"2020-11-28 19:25",643,97,307,5,180,149,661,153,121,133,249,230,412,274,520,171
"2020-11-28 19:30",646,77,311,4,180,149,666,154,125,135,253,232,414,275,520,171
